data,categoria,entidade,evento,fonte_url,tipo_fonte,status
2025-03-28,contratos_e_mercado,BRB,"BRB anuncia intenção de adquirir 58% do capital do Banco Master (49% ON, 100% PN) por R$ 2 bilhões, sujeito a aprovação de BCB e Cade",https://forbes.com.br/forbes-money/2025/03/brb-anuncia-aquisicao-do-banco-master-por-r-2-bilhoes/,imprensa,confirmado
2025-04-15,orgaos_de_controle,BRB,"MPF, MPDFT e MP de Contas do DF abrem apurações sobre a compra do Banco Master pelo BRB (data aproximada: abril/2025)",https://agenciabrasil.ebc.com.br/justica/noticia/2025-04/mpf-tambem-vai-investigar-compra-do-banco-master-pelo-brb,imprensa,confirmado
2025-06-02,demonstracoes_financeiras,BRB,"BRB formaliza troca de auditor independente: Grant Thornton substitui a EY",https://ri.brb.com.br/upload/files/3893_Notice-to-the-Market-Change-of-Auditor-06.02.2025.pdf,oficial,confirmado
2025-08-20,contratos_tribunais,TJMA–BRB,"TJMA assina Contrato nº 85/2025 com o BRB, em regime de exclusividade, para depósitos judiciais, administrativos, fianças e precatórios",https://www.tjma.jus.br/midia/portal/noticia/519009/tjma-inicia-transicao-de-depositos-judiciais-para-o-banco-de-brasilia,oficial,confirmado
2025-08-29,demonstracoes_financeiras,BRB,"BRB divulga resultado do 1S25: lucro recorrente R$ 518 mi, ativos R$ 74,5 bi, PL R$ 4,0 bi, Basileia 13,91% — última demonstração financeira divulgada pelo banco até ago/2026",https://novo.brb.com.br/imprensa/brb-registra-lucro-liquido-de-r-518-milhoes-no-1o-semestre-de-2025/,oficial,confirmado
2025-09-03,reguladores,BRB,"BCB rejeita a aquisição do Banco Master pelo BRB, citando entre outros fatores o risco de sucessão",https://agenciabrasil.ebc.com.br/economia/noticia/2025-09/bc-rejeita-compra-do-master-pelo-banco-de-brasilia-brb,imprensa,confirmado
2025-11-18,reguladores,Banco Master,"BCB decreta liquidação extrajudicial do conglomerado Banco Master por grave crise de liquidez e graves violações às normas do SFN",https://www.cnnbrasil.com.br/economia/macroeconomia/caso-master-relembre-a-liquidacao-do-banco-que-envolve-bc-stf-e-tcu/,imprensa,confirmado
2025-11-18,investigacoes,BRB,"PF deflagra 1ª fase da Operação Compliance Zero; Justiça Federal afasta por 60 dias o presidente do BRB (Paulo Henrique Costa) e o diretor financeiro",https://www.metropoles.com/brasil/compliance-zero-relembre-as-6-fases-e-os-desdobramentos-da-operacao,imprensa,confirmado
2025-11-30,dados_bcb,BRB,"Última data-base do BRB presente nos balancetes públicos do BCB (doc. 4010): nov/2025. Banco ausente das bases de out/2025, dez/2025 e jan–mar/2026. Razão da ausência não explicada oficialmente",https://dadosabertos.bcb.gov.br/dataset/ifs-balancetes,oficial,confirmado
2026-01-07,reguladores,BRB,"BCB determina, via termo de comparecimento, provisão de R$ 2,6 bi no BRB por perdas com carteiras adquiridas do Master (relato de imprensa)",https://www.infomoney.com.br/mercados/bc-manda-brb-provisionar-r-26-bi-para-cobrir-fraude-do-master-diz-jornal/,imprensa,confirmado_imprensa
2026-01-19,sistema_financeiro,FGC,"FGC inicia pagamento de garantias a credores do Banco Master: ~R$ 40,6 bi para ~800 mil credores, maior acionamento da história do FGC",https://agenciabrasil.ebc.com.br/economia/noticia/2026-01/fgc-inicia-pagamento-de-clientes-do-banco-master-com-ate-r-250-mil,imprensa,confirmado
2026-02-13,orgaos_de_controle,TJMA–BRB,"Corregedoria Nacional de Justiça determina que o TJMA explique a transferência de R$ 2,8 bi em depósitos judiciais ao BRB",https://m.imirante.com/noticias/sao-luis/2026/02/20/ipolitica-cnj-cobra-explicacoes-do-tj-ma-sobre-transferencia-de-r-28-bilhoes-em-depositos-judiciais-para-o-brb,imprensa,confirmado
2026-02-20,orgaos_de_controle,CNJ,"CNJ intima os 5 tribunais com recursos no BRB (TJDFT, TJBA, TJAL, TJMA, TJPB) a explicar depósitos judiciais que podem chegar a R$ 30 bi",https://movimentoeconomico.com.br/economia/justica/2026/02/20/cnj-intima-tribunais-de-justica-do-nordeste-por-depositos-judiciais-no-brb/,imprensa,confirmado
2026-02-26,decisoes_judiciais,BRB,"Justiça do DF bloqueia ~R$ 376,4 mi em ações do BRB pertencentes a investigados; BRB estima prejuízo de ao menos R$ 5 bi com as operações do Master",https://agenciabrasil.ebc.com.br/justica/noticia/2026-02/justica-bloqueia-acoes-do-brb-ligadas-banco-master,imprensa,confirmado
2026-03-31,demonstracoes_financeiras,BRB,"BRB confirma que não divulgará o balanço de 2025 no prazo legal (31/03/2026), alegando necessidade de conclusão da auditoria sobre as operações com o Master",https://agenciabrasil.ebc.com.br/economia/noticia/2026-03/brb-confirma-que-nao-divulgara-balanco-de-2025-no-prazo,imprensa,confirmado
2026-04-16,investigacoes,BRB,"PF prende o ex-presidente do BRB na 4ª fase da Operação Compliance Zero",https://agenciabrasil.ebc.com.br/geral/noticia/2026-04/policia-federal-prende-ex-presidente-do-brb,imprensa,confirmado
2026-05-14,contratos_tribunais,TJDFT–BRB,"Encerra-se o credenciamento TJDFT–BRB vigente desde 2021",https://www.tjdft.jus.br/institucional/imprensa/noticias/2026/maio/depositos-judiciais-do-tjdft-passam-a-ser-direcionados-a-caixa-economica-federal-a-partir-desta-sexta-feira,oficial,confirmado
2026-05-15,contratos_tribunais,TJDFT–Caixa,"Novos depósitos judiciais do TJDFT passam a ser direcionados à Caixa (contrato-ponte de 6 meses); estoque de ~R$ 8,4 bi permanece no BRB, assim como depósitos em contas já vinculadas e precatórios do GDF",https://www.tjdft.jus.br/institucional/imprensa/noticias/2026/maio/depositos-judiciais-do-tjdft-passam-a-ser-direcionados-a-caixa-economica-federal-a-partir-desta-sexta-feira,oficial,confirmado
2026-05-30,controlador,GDF–BRB,"Acordo de conciliação no STF (min. Luiz Fux) entre GDF e União: empréstimo de até R$ 6,6 bi do FGC ao GDF para capitalizar o BRB (data aproximada: maio/2026)",https://www.bloomberglinea.com.br/negocios/governo-do-df-tomara-emprestimo-de-r-65-bi-do-fgc-para-socorrer-o-brb/,imprensa,confirmado
